trace,J,nll_full_cond,nll_full_marg,difference_cond_minus_marg
0,24,37.565608143,33.587466578,3.978141564
1,32,53.816506844,49.788134766,4.028372078
2,40,63.416153921,60.509852667,2.906301254
3,48,82.798707312,80.037703011,2.761004300
4,24,38.002999829,35.566205881,2.436793949
5,32,51.642736736,48.855369886,2.787366850
6,40,66.062049173,67.980234960,-1.918185787
7,48,78.696554868,73.583912046,5.112642822
8,24,39.278001962,36.357797222,2.920204740
9,32,52.087474554,48.249627808,3.837846747
10,40,62.931727225,59.259925647,3.671801577
11,48,78.496749579,73.666195164,4.830554415
12,24,36.906017733,35.553397660,1.352620074
13,32,52.315870275,52.880051830,-0.564181555
14,40,64.965655261,60.505760051,4.459895209
15,48,81.128142608,77.450561010,3.677581598
16,24,36.591192779,33.728699735,2.862493044
17,32,51.462718652,50.058340170,1.404378482
18,40,64.223386987,58.319611156,5.903775830
19,48,78.864704588,73.639617019,5.225087569
20,24,39.922527933,36.815435727,3.107092206
21,32,52.724862472,47.080422529,5.644439943
22,40,67.518594023,68.482914506,-0.964320483
23,48,82.050958694,77.059371171,4.991587523
24,24,37.306584283,33.987849849,3.318734434
25,32,49.997538019,46.480677991,3.516860029
26,40,64.957677988,60.263670087,4.694007901
27,48,78.022502310,74.021575342,4.000926968
28,24,41.003720526,37.074950479,3.928770047
29,32,51.598286274,49.321577376,2.276708898
30,40,67.344047850,60.731978422,6.612069429
31,48,76.138184439,73.577228187,2.560956252
32,24,36.175803714,34.845049924,1.330753791
33,32,52.652307115,48.190455567,4.461851547
34,40,64.795057744,58.416820593,6.378237151
35,48,77.095999852,78.305222352,-1.209222500
36,24,39.307755064,38.491875295,0.815879768
37,32,50.774077152,47.202804142,3.571273010
38,40,65.203051349,62.812954916,2.390096434
39,48,78.615238692,75.916066725,2.699171966
40,24,38.492818413,36.999623661,1.493194751
41,32,52.056578622,50.438647823,1.617930799
42,40,67.533030533,65.741897262,1.791133270
43,48,76.869650281,74.044102066,2.825548215
44,24,39.281101815,35.730765294,3.550336521
