config_id,axis,label,N,J,K,A,D_min,D_max,regime,group,phase,seed,peak_rss_bytes,peak_rss_mib,dense_block_table_bytes,dense_copies_live_in_this_group,batched_stack_bytes_worst_class,alpha_chart_bytes,batched_alpha_r_bytes,fast_cumulative_bytes,predicted_arrays_total_bytes,predicted_process_rss_bytes,projected_banded_bytes_NOT_IMPLEMENTED,projected_banded_saving_ratio_NOT_IMPLEMENTED,swap_used_mb
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,210964480,201.19,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1555.38
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,348467200,332.32,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1555.38
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,343068672,327.18,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1555.38
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,217104384,207.05,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1555.38
A_full/N16_J128_K10_A20_D12_full_s20260822,A_full,A_full_20,16,128,10,20,3,12,full,build,main,20260822,229216256,218.6,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1539.38
A_full/N16_J128_K10_A20_D12_full_s20260822,A_full,A_full_20,16,128,10,20,3,12,full,cond,main,20260822,395321344,377.01,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1539.38
A_full/N16_J128_K10_A20_D12_full_s20260822,A_full,A_full_20,16,128,10,20,3,12,full,marg,main,20260822,374759424,357.4,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1539.38
A_full/N16_J128_K10_A20_D12_full_s20260822,A_full,A_full_20,16,128,10,20,3,12,full,primitives,main,20260822,238080000,227.05,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1539.38
A_full/N16_J128_K10_A30_D12_full_s20260822,A_full,A_full_30,16,128,10,30,3,12,full,build,main,20260822,242827264,231.58,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1531.38
A_full/N16_J128_K10_A30_D12_full_s20260822,A_full,A_full_30,16,128,10,30,3,12,full,cond,main,20260822,374419456,357.07,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1531.38
A_full/N16_J128_K10_A30_D12_full_s20260822,A_full,A_full_30,16,128,10,30,3,12,full,marg,main,20260822,387125248,369.19,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1531.38
A_full/N16_J128_K10_A30_D12_full_s20260822,A_full,A_full_30,16,128,10,30,3,12,full,primitives,main,20260822,251449344,239.8,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1531.38
A_full/N16_J128_K10_A50_D12_full_s20260822,A_full,A_full_50,16,128,10,50,3,12,full,build,main,20260822,205107200,195.61,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1531.38
A_full/N16_J128_K10_A50_D12_full_s20260822,A_full,A_full_50,16,128,10,50,3,12,full,cond,main,20260822,344920064,328.94,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1531.38
A_full/N16_J128_K10_A50_D12_full_s20260822,A_full,A_full_50,16,128,10,50,3,12,full,marg,main,20260822,335781888,320.23,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1531.38
A_full/N16_J128_K10_A50_D12_full_s20260822,A_full,A_full_50,16,128,10,50,3,12,full,primitives,main,20260822,220102656,209.91,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1531.38
A_full/N16_J128_K10_A5_D12_full_s20260822,A_full,A_full_5,16,128,10,5,3,12,full,build,main,20260822,161812480,154.32,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1563.38
A_full/N16_J128_K10_A5_D12_full_s20260822,A_full,A_full_5,16,128,10,5,3,12,full,cond,main,20260822,316751872,302.08,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1563.38
A_full/N16_J128_K10_A5_D12_full_s20260822,A_full,A_full_5,16,128,10,5,3,12,full,marg,main,20260822,363061248,346.24,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1563.38
A_full/N16_J128_K10_A5_D12_full_s20260822,A_full,A_full_5,16,128,10,5,3,12,full,primitives,main,20260822,171094016,163.17,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1563.38
A_sparse/N16_J128_K10_A10_D12_sparse_s20260822,A_sparse,A_sparse_10,16,128,10,10,3,12,sparse,build,main,20260822,207020032,197.43,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1555.38
A_sparse/N16_J128_K10_A10_D12_sparse_s20260822,A_sparse,A_sparse_10,16,128,10,10,3,12,sparse,cond,main,20260822,365694976,348.75,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1555.38
A_sparse/N16_J128_K10_A10_D12_sparse_s20260822,A_sparse,A_sparse_10,16,128,10,10,3,12,sparse,marg,main,20260822,330874880,315.55,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1555.38
A_sparse/N16_J128_K10_A10_D12_sparse_s20260822,A_sparse,A_sparse_10,16,128,10,10,3,12,sparse,primitives,main,20260822,215482368,205.5,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1555.38
A_sparse/N16_J128_K10_A20_D12_sparse_s20260822,A_sparse,A_sparse_20,16,128,10,20,3,12,sparse,build,main,20260822,229470208,218.84,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1539.38
