config_id,axis,label,N,J,K,A,D_min,D_max,regime,group,phase,seed,operation,rep_index,wall_seconds,cpu_seconds
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,0,0.916611750,0.806158000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,1,0.849957958,0.787536000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,2,0.850182417,0.812839000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,3,0.919453250,0.819734000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,4,0.883917375,0.837403000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,5,0.851809250,0.812311000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,6,0.915267792,0.848977000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,7,0.852792333,0.815516000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,8,0.864098708,0.789946000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,9,0.842509750,0.806381000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,10,0.815017625,0.787895000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,11,0.880003584,0.837865000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,12,0.829972708,0.801635000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,13,0.875302125,0.797342000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,14,0.888431375,0.832110000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,0,0.001067583,0.000446000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,1,0.000257792,0.000258000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,2,0.000363250,0.000364000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,3,0.000383291,0.000384000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,4,0.001111584,0.000462000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,5,0.000373209,0.000374000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,6,0.000414375,0.000407000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,7,0.000250458,0.000250000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,8,0.000341833,0.000343000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,9,0.000379916,0.000369000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,10,0.000257334,0.000257000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,11,0.000364917,0.000365000
