config_id,axis,label,N,J,K,A,D_min,D_max,regime,group,phase,seed,operation,n_reps,reduced_repetitions,censored,budget_limited,wall_median_s,wall_iqr_s,wall_p90_s,wall_ci_lo_s,wall_ci_hi_s,wall_ci_rel_half_width,cpu_median_s,cpu_iqr_s,cpu_p90_s,peak_rss_bytes,legal_blocks_total,legal_blocks_times_skills,trace_occurrences,forward_states,forward_total_reductions,role_relation_density,role_mean_predecessors,loadavg_before_1m,loadavg_after_1m,speed_probe_median_s,speed_normalised_wall_median_s
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_build,15,0,0,0,0.864098708,0.036104188,0.916074167,0.850182417,0.883917375,0.019520,0.812311000,0.026433500,0.837680200,210964480,19440,194400,2048,20480,397600,0.237778,2.1400,14.68,15.39,nan,
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,50,0,0,0,0.000267687,0.000158552,0.000403533,0.000227542,0.000293328,0.122879,0.000268000,0.000155000,0.000369500,210964480,19440,194400,2048,20480,397600,0.237778,2.1400,14.68,15.39,nan,
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,22,0,0,0,0.085992459,0.011033927,0.101363820,0.084824417,0.091818333,0.040666,0.084825500,0.006942250,0.091639200,348467200,19440,194400,2048,20480,397600,0.237778,2.1400,14.86,13.73,nan,
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,15,0,0,0,0.923608583,0.053866999,0.974418808,0.890841083,0.948190583,0.031046,0.887982000,0.031911000,0.915899000,348467200,19440,194400,2048,20480,397600,0.237778,2.1400,14.86,13.73,nan,
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,18,0,0,0,0.100157333,0.010997979,0.114428792,0.094790459,0.104784291,0.049891,0.091574500,0.005868250,0.098125000,343068672,19440,194400,2048,20480,397600,0.237778,2.1400,14.44,14.68,nan,
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,15,0,0,0,1.087809625,0.027444750,1.135152325,1.069251000,1.101416417,0.014784,0.977723000,0.019992000,0.990705800,343068672,19440,194400,2048,20480,397600,0.237778,2.1400,14.44,14.68,nan,
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,16,0,0,0,0.041508709,0.004140157,0.045074687,0.039700208,0.042880917,0.038314,0.039090000,0.002686000,0.040846500,217104384,19440,194400,2048,20480,397600,0.237778,2.1400,15.20,14.86,nan,
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,18,0,0,0,0.060624354,0.006536990,0.065297225,0.055493917,0.061439064,0.049033,0.056832500,0.004820500,0.060318300,217104384,19440,194400,2048,20480,397600,0.237778,2.1400,15.20,14.86,nan,
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,forward_batched,50,0,0,0,0.021599854,0.005550781,0.027104141,0.020878458,0.023486792,0.060379,0.020110000,0.004086000,0.024582500,217104384,19440,194400,2048,20480,397600,0.237778,2.1400,15.20,14.86,nan,
A_full/N16_J128_K10_A20_D12_full_s20260822,A_full,A_full_20,16,128,10,20,3,12,full,build,main,20260822,emission_build,15,0,0,0,2.057761000,0.033690230,2.202911775,2.044799958,2.064227105,0.004720,2.017382000,0.020747000,2.090574400,229216256,19440,194400,2048,20480,397600,0.247368,4.7000,9.62,11.28,nan,
A_full/N16_J128_K10_A20_D12_full_s20260822,A_full,A_full_20,16,128,10,20,3,12,full,build,main,20260822,emission_cache_hit,15,0,0,0,0.000609000,0.000045938,0.000700025,0.000595833,0.000637083,0.033867,0.000608000,0.000046500,0.000699400,229216256,19440,194400,2048,20480,397600,0.247368,4.7000,9.62,11.28,nan,
A_full/N16_J128_K10_A20_D12_full_s20260822,A_full,A_full_20,16,128,10,20,3,12,full,cond,main,20260822,cond_plain,15,0,0,0,0.120734333,0.008209375,0.127075350,0.116804583,0.125838542,0.037413,0.117452000,0.006119000,0.121646800,395321344,19440,194400,2048,20480,397600,0.247368,4.7000,10.93,10.37,nan,
A_full/N16_J128_K10_A20_D12_full_s20260822,A_full,A_full_20,16,128,10,20,3,12,full,cond,main,20260822,cond_structural,15,0,0,0,1.915641709,0.020659438,2.013592808,1.906960250,1.928306375,0.005572,1.873123000,0.017700500,1.933909000,395321344,19440,194400,2048,20480,397600,0.247368,4.7000,10.93,10.37,nan,
A_full/N16_J128_K10_A20_D12_full_s20260822,A_full,A_full_20,16,128,10,20,3,12,full,marg,main,20260822,marg_plain,15,0,0,0,0.118204417,0.009132374,0.132434700,0.115098709,0.123650041,0.036172,0.116963000,0.005747000,0.125689600,374759424,19440,194400,2048,20480,397600,0.247368,4.7000,10.34,10.33,nan,
A_full/N16_J128_K10_A20_D12_full_s20260822,A_full,A_full_20,16,128,10,20,3,12,full,marg,main,20260822,marg_structural,15,0,0,0,2.023334208,0.038295104,2.111193342,2.011123542,2.052713167,0.010277,1.984335000,0.025989500,2.040672600,374759424,19440,194400,2048,20480,397600,0.247368,4.7000,10.34,10.33,nan,
A_full/N16_J128_K10_A20_D12_full_s20260822,A_full,A_full_20,16,128,10,20,3,12,full,primitives,main,20260822,backward_sample,15,0,0,0,0.045569625,0.003100562,0.048665075,0.044178500,0.047842750,0.040205,0.044575000,0.002922000,0.047005200,238080000,19440,194400,2048,20480,397600,0.247368,4.7000,11.28,10.93,nan,
A_full/N16_J128_K10_A20_D12_full_s20260822,A_full,A_full_20,16,128,10,20,3,12,full,primitives,main,20260822,ffbs_complete,15,0,0,0,0.076370084,0.006381937,0.084145367,0.074059042,0.079855833,0.037952,0.074395000,0.003827500,0.076693800,238080000,19440,194400,2048,20480,397600,0.247368,4.7000,11.28,10.93,nan,
